timestamp,latitude,longitude,altitude
1544835830,33.61999,-84.51681,22.5
1544835831,33.62,-84.51606,22.44
1544835832,33.61995,-84.51525,22
1544835833,33.61995,-84.51449,21.94
1544835834,33.61995,-84.51374,21.81
1544835835,33.61995,-84.51298,21.69
1544835836,33.61995,-84.51222,21.56
1544835837,33.61993,-84.51163,21
1544835838,33.61993,-84.51089,20.81
1544835839,33.61993,-84.51015,20.69
1544835840,33.61992,-84.5094,20.56
1544835841,33.61992,-84.50866,20.38
1544835842,33.61982,-84.50785,20.38
1544835843,33.61985,-84.50707,20.25
1544835844,33.61982,-84.50606,20.06
1544835845,33.6201,-84.50411,20
1544835846,33.6201,-84.50341,19.94
1544835847,33.62007,-84.50258,19.81
1544835848,33.62004,-84.50195,19.81
1544835849,33.62003,-84.50114,19.69
1544835850,33.62005,-84.50043,19.44
1544835851,33.62004,-84.49979,19.31
1544835852,33.62005,-84.49906,19.19
1544835853,33.62011,-84.49832,18.94
1544835854,33.62009,-84.49753,18.81
1544835855,33.6201,-84.49675,18.69
1544835856,33.62016,-84.49592,18.63
1544835857,33.62018,-84.49515,18.56
1544835858,33.62022,-84.49439,18.5
1544835859,33.62019,-84.4936,18.38
1544835860,33.62012,-84.49293,18.31
1544835861,33.62011,-84.49208,18.19
1544835862,33.62009,-84.49128,17.88
1544835863,33.62008,-84.4905,17.63
1544835864,33.62017,-84.48979,17.44
1544835865,33.62016,-84.48908,17.38
1544835866,33.6201,-84.48822,17.38
1544835867,33.62012,-84.48743,17.38
1544835868,33.62015,-84.48667,17.25
1544835869,33.62017,-84.48589,17
1544835870,33.62015,-84.48516,16.81
1544835871,33.62021,-84.48438,16.69
1544835872,33.62022,-84.48359,16.63
1544835873,33.62019,-84.48283,16.38
1544835874,33.62017,-84.48208,16.38
1544835875,33.62016,-84.4814,16.25
1544835876,33.62017,-84.48054,16.13
1544835877,33.62021,-84.47973,16
1544835878,33.6202,-84.47891,15.81
1544835879,33.62023,-84.47815,15.63
1544835880,33.62025,-84.47728,15.56
1544835881,33.62018,-84.47647,15.38
1544835882,33.62022,-84.47573,15.31
1544835883,33.62013,-84.47497,15.25
1544835884,33.62019,-84.47414,15.13
1544835885,33.62017,-84.47336,14.94
1544835886,33.62017,-84.4726,14.63
1544835887,33.62022,-84.47182,14.5
1544835888,33.62023,-84.47106,14.5
1544835889,33.62019,-84.47017,14.31
1544835890,33.62016,-84.46942,14.31
1544835891,33.62014,-84.46865,14.25
1544835892,33.62012,-84.46792,14.19
1544835893,33.62012,-84.4672,14
1544835894,33.62015,-84.46638,13.88
1544835895,33.62024,-84.46545,13.63
1544835896,33.62029,-84.46464,13.56
1544835897,33.62026,-84.46391,13.44
1544835898,33.62022,-84.46313,13.31
1544835899,33.62025,-84.46222,13.06
1544835900,33.62026,-84.4614,13
1544835901,33.62023,-84.46064,12.88
1544835902,33.62019,-84.4599,12.81
1544835903,33.62022,-84.45909,12.63
1544835904,33.62023,-84.45826,12.56
1544835905,33.6202,-84.45748,12.44
1544835906,33.62016,-84.45662,12.38
1544835907,33.62019,-84.45585,12.06
1544835908,33.62022,-84.45509,11.94
1544835909,33.62017,-84.45434,11.81
1544835910,33.62016,-84.4535,11.69
1544835911,33.62021,-84.45269,11.56
1544835912,33.6202,-84.4519,11.44
1544835913,33.62025,-84.45107,11.31
1544835914,33.62022,-84.45024,11.13
1544835915,33.62027,-84.44948,10.88
1544835916,33.62029,-84.44865,10.81
1544835917,33.62031,-84.44785,10.63
1544835918,33.62031,-84.44702,10.44
1544835919,33.62031,-84.44625,10.38
1544835920,33.62026,-84.44542,10.25
1544835921,33.62023,-84.4446,10.13
1544835922,33.62025,-84.44382,10
1544835923,33.62025,-84.44303,9.94
1544835924,33.62027,-84.44222,10
1544835925,33.62028,-84.4414,10.06
1544835926,33.62026,-84.44064,10.06
1544835927,33.62027,-84.43994,10.06
1544835928,33.62028,-84.43921,10.06
1544835929,33.62027,-84.43855,10.06
1544835930,33.6203,-84.4379,10
1544835931,33.62027,-84.43728,10
1544835932,33.62032,-84.43669,9.94
1544835933,33.62029,-84.43609,10
1544835934,33.62029,-84.43554,10
1544835935,33.62028,-84.43499,10
1544835936,33.62027,-84.43448,9.94
1544835937,33.62027,-84.43401,10.06
1544835938,33.62022,-84.43352,10.13
1544835939,33.62028,-84.4331,10.13
1544835940,33.62025,-84.43265,10.06
1544835941,33.62023,-84.43226,10.06
1544835942,33.62024,-84.43187,10.06
1544835943,33.62025,-84.43152,10.06
1544835944,33.62026,-84.43117,10
1544835945,33.62024,-84.43084,10.06
1544835946,33.62028,-84.43048,10.06
1544835947,33.62029,-84.43015,10.06
1544835948,33.62027,-84.4298,10.06
1544835949,33.62027,-84.42947,10.06
1544835950,33.62031,-84.42914,10.06
1544835951,33.62031,-84.42886,10.06
1544835952,33.6203,-84.42857,10.06
1544835953,33.62027,-84.42827,10.06
1544835954,33.62027,-84.428,10.06
1544835955,33.62028,-84.42772,10.06
1544835956,33.62026,-84.42744,10.06
1544835957,33.62029,-84.42718,10.06
1544835958,33.6203,-84.42695,10.06
1544835959,33.62029,-84.42671,10.06
1544835960,33.62032,-84.42648,10.06
1544835961,33.62032,-84.42626,10.06
1544835962,33.62038,-84.42603,10.06
1544835963,33.62041,-84.42582,10.06
1544835964,33.62045,-84.4256,10.06
1544835965,33.62049,-84.4254,10.06
1544835966,33.62054,-84.42523,10.06
1544835967,33.6206,-84.42504,10.06
1544835968,33.62065,-84.42486,10.06
1544835969,33.6207,-84.42469,10.06
1544835970,33.62077,-84.42454,10.06
1544835971,33.62084,-84.4244,10.06
1544835972,33.62092,-84.42425,10.06
1544835973,33.62104,-84.4241,10.06
1544835974,33.62112,-84.42396,10.06
1544835975,33.62117,-84.42384,10.06
1544835976,33.62123,-84.42376,10.06
1544835977,33.6213,-84.42369,10.06
1544835978,33.62134,-84.42362,10.06
1544835979,33.62144,-84.42362,10.06
1544835980,33.62151,-84.4236,10.06
1544835981,33.6216,-84.4236,10.06
